antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
"14586, 48914, 721","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Chocolate Creme Cupcakes, Sweet Chai of Mine Chai Tea Bags","16666, 28198","Single Serve Donut Shop Coffee, 12 Count, Rainbow Candy",0.2397,0.5691,2.3742,"{14586, 48914, 721}","{16666, 28198}"
"26797, 4883, 5616","Drinkable Yogurt Starwberry, Holiday Milk Chocolates, Mexican Papaya",36781,Poppy Thyme Crackers,0.2415,0.6126,2.5366,"{26797, 4883, 5616}",{36781}
"25625, 30384, 4500","Nonfat Yogurt, Dark Caffe Verona Whole Bean Coffee, Chimichanga Chicken & Cheese",36789,UltimateCare Premium Liquid Bleach,0.1032,0.683,6.6182,"{25625, 30384, 4500}",{36789}
"14388, 41999","Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Cut Tulips (Choose Color)",36047,Los Osos Merlot,0.3465,0.3174,0.916,"{14388, 41999}",{36047}
"35316, 4231","Shower Cleaner, Advanced Haircare Color Vibrancy Conditioner",702,Cheese Spread Port Wine,0.4808,0.6808,1.416,"{35316, 4231}",{702}
"2668, 4669","Whips! Strawberry Mist Yogurt Mousse, Pure Rewards Beef Jerky Bits Dog Treats",48974,Organic Asian Sesame Dressing,0.3862,0.9655,2.5,"{2668, 4669}",{48974}
3735,Specialties Garlic Stuffed Queen Olives,"10830, 6880","Sliced Canadian Bacon, for Tots Apple White Grape Juice",0.4105,0.5081,1.2378,{3735},"{10830, 6880}"
"24821, 32594, 33781","Wild Rose Deodorant Spray, Celery Ground Spice, Pasta Sauce",45348,Chillable Red House Wine,0.275,0.7319,2.6615,"{24821, 32594, 33781}",{45348}
"2989, 35795","Sweet Marsala, Mexican Restaurant Style Corn Tortilla Chips","2714, 38564","Handi-Snacks Ritz Crackers 'n Cheese Dip, Euphoric Ylang Ylang Mineral Bath",0.0103,0.4177,40.5534,"{2989, 35795}","{2714, 38564}"
"15882, 4665, 6255","Passion Punch, Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee, Multi-Grain Cheerios Dark Chocolate Crunch Cereal",28583,Down East Olive Oil Crackers,0.3004,0.8327,2.772,"{15882, 4665, 6255}",{28583}
"35388, 36675","Brooklyn Rye Oval, Kale Krunch, Organic, Southwest Ranch","30912, 941","Original Decaf Medium Roast K-Cups, Smoked Atlantic Nova Salmon",0.3451,0.6963,2.0177,"{35388, 36675}","{30912, 941}"
"41601, 5400","All Profits To Charity Pineapple Salsa, Coconut Flavor",36675,"Kale Krunch, Organic, Southwest Ranch",0.0292,0.8655,29.6404,"{41601, 5400}",{36675}
4631,Lip Rescue with Eco - Harvest Tea Tree Oil,"29329, 6544","Surface Wipes Fresh Scent, Garlic Rosemary Citrus Sauce",0.1373,0.7054,5.1377,{4631},"{29329, 6544}"
"14963, 37549","LashBlast Volume Mascara - Very Black 800, Chocolate Cake Mix",14647,Diced Hot Green Chiles,0.2,0.4254,2.127,"{14963, 37549}",{14647}
"8353, 9009","Organic Honey Bunch Grape Tomatoes, Fuji  Apples","21391, 5615","Sardines In Soybean Oil, White Miso Soup Mix",0.3569,0.9465,2.652,"{8353, 9009}","{21391, 5615}"
27804,Spicy Kung Pao Noodle Bowl,"24466, 32165","Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub, Orange Unsweetened Soft Drink Mix",0.1253,0.7994,6.3799,{27804},"{24466, 32165}"
"43717, 49218","18-in-1 Hemp Pure-Castile Soap Almond, Dough For Turnover Pastries Para Empanadas","18045, 26345","Clean & Refresh Antibacterial Body Wash, Lavender & Twilight Jasmine, Small/Medium Maximum Absorbency Women Underwear",0.3717,0.3458,0.9303,"{43717, 49218}","{18045, 26345}"
10014,Fresh Puttanesca Sauce,721,Sweet Chai of Mine Chai Tea Bags,0.2682,0.6324,2.3579,{10014},{721}
7235,Stevia Plus Powder,"12231, 43833","Orange Jel Dessert, Organic Extra Thick Passata Rustica Puree",0.4649,0.787,1.6928,{7235},"{12231, 43833}"
"16469, 32223","Broccoli Cheddar Quiche, For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy","17174, 2606","Coffee-Mate Star Wars Spiced Latte Coffee Creamer, Mr. Goodbar Milk Chocolate with Peanuts Candy Bar",0.316,0.8372,2.6494,"{16469, 32223}","{17174, 2606}"
26554,Rigatoni With Chicken & Pesto,"29064, 9009","Black Cherry Water, Fuji  Apples",0.0852,0.8316,9.7606,{26554},"{29064, 9009}"
4287,Organic Pure Blueberry Juice,26130,Creamy Gorg Blue-Veined Cheese Soft,0.3904,0.4583,1.1739,{4287},{26130}
"30369, 41916, 46111","Gluten Free Spinach And Cheese Ravioli, Barrel Aged Sriracha, Pro V Shampoo & Conditioner 2 In 1 Classic Clean",41087,"Clinical Strength Invisible Solid Deodorant, Menstrual Cup, Model 1",0.4674,0.676,1.4463,"{30369, 41916, 46111}",{ 41087}
37777,Moroccan Infusion Color Care Shampoo,16626,Brownie Moose Tracks Ice Cream,0.2747,0.7618,2.7732,{37777},{16626}
38974,Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing,38036,Toasted Sesame Water Crackers,0.1131,0.5567,4.9222,{38974},{38036}
"28886, 2989, 48974","Organic Orange, Sweet Marsala, Organic Asian Sesame Dressing",27163,Spicy Nacho Tortilla Chips,0.4448,0.3393,0.7628,"{28886, 2989, 48974}",{27163}
8653,Daisy Cutter Pale Ale,4339,Pure Camomile Herbal Tea Bags,0.1416,0.6747,4.7648,{8653},{4339}
"21278, 26130, 41739","All Purpose Crushed Tomatoes, Creamy Gorg Blue-Veined Cheese Soft, Boneless Fried Chicken & Waffles","27804, 39146","Spicy Kung Pao Noodle Bowl, Original Flax Milk",0.3487,0.8294,2.3785,"{21278, 26130, 41739}","{27804, 39146}"
"13718, 32265, 4581","Grape with Electrolytes & Vitamins Water Beverage, ForceFlex Drawstring Tall Kitchen Bags, McCormick Minced Onion","43170, 4553","Toll House Premier White Chocolate Morsels, Exfoliating Renewal Wet Cleansing Towelettes",0.2144,0.5725,2.6702,"{13718, 32265, 4581}","{43170, 4553}"
"3735, 4517, 8766","Specialties Garlic Stuffed Queen Olives, Sausage Pizza Rolls, Delicious IPA","12129, 36354","12 Oz Lager, Bourbon Vanilla & Tangerine Hair Texturizer",0.4594,0.4351,0.9471,"{3735, 4517, 8766}","{12129, 36354}"
"14963, 2248, 9846","LashBlast Volume Mascara - Very Black 800, Variety Pack Granola Bars, Simply Dressed Coleslaw Dressing",4816,"Red, White & Blue Pop'ems",0.0977,0.8955,9.1658,"{14963, 2248, 9846}",{4816}
"18116, 48448","Teatree Mint Hydrating Shampoo, Dates",43337,Pomegranate with Blueberry 100% Juice,0.1144,0.8235,7.1984,"{18116, 48448}",{43337}
"12231, 41601, 43145","Orange Jel Dessert, All Profits To Charity Pineapple Salsa, Pinto Beans with Jalapeno Peppers","24974, 34135","Caramel Custard Yogurt, Home Style Mexican-Style Chicken Tortilla Soup",0.182,0.633,3.478,"{12231, 41601, 43145}","{24974, 34135}"
"14041, 27804","Whole Grain Seeded Dinner Roll, Spicy Kung Pao Noodle Bowl",12101,Black Truffle Flavored Olive Oil,0.0908,0.9055,9.9725,"{14041, 27804}",{12101}
"23918, 4231","Fragrance Free Pure Olive Oil Soap Bars, Advanced Haircare Color Vibrancy Conditioner","27248, 8683","G-Series Rain Berry Thirst Quencher Sports Drink, Complete Battery Power Toothbrush",0.032,0.3451,10.7844,"{23918, 4231}","{27248, 8683}"
9009,Fuji  Apples,"11325, 8353","Organic Hemp Plus Granola, Organic Honey Bunch Grape Tomatoes",0.3843,0.4834,1.2579,{9009},"{11325, 8353}"
27140,Green Tea Decaf Lotus Blossom Green Tea Bags,17373,Almond Butter Mini Bar,0.0638,0.9246,14.4922,{27140},{17373}
"13278, 15913, 25625","Hand Soap, Refill Size, French Lavender, Ranch Veggie Dip, Nonfat Yogurt",10503,U Ultra Overnight With Wings Pads,0.4827,0.6983,1.4467,"{13278, 15913, 25625}",{10503}
"5533, 9846","Washing Machine Cleaner, Simply Dressed Coleslaw Dressing","13139, 5615","Pure Peanut Oil, White Miso Soup Mix",0.4098,0.8943,2.1823,"{5533, 9846}","{13139, 5615}"
"1077, 14388, 21495","Security Super Plus Unscented Tampons, Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Extra Extra Dry Ultra Fresh","47160, 47512","Hair Expertise Ever Pure Blonde Shampoo, Lite Energy Drink",0.4438,0.9069,2.0435,"{1077, 14388, 21495}","{47160, 47512}"
"13968, 21495, 35388","Rustic Tomato Basil Sauce, Extra Extra Dry Ultra Fresh, Brooklyn Rye Oval",4500,Chimichanga Chicken & Cheese,0.2296,0.8451,3.6807,"{13968, 21495, 35388}",{4500}
"17022, 38976, 4231","Elbows Pasta, Coffee Nut Peanut Chocolate Candy, Advanced Haircare Color Vibrancy Conditioner","16059, 34412","Crab Delights Imitation Flake Style Crab Meat, Big Bags with Double Zipper, XL",0.281,0.8358,2.9744,"{17022, 38976, 4231}","{16059, 34412}"
"19276, 34583, 46506","Whole Nutmeg, 100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn, Taco Seasoned Beef & Cheese Extra Crunchy Taquitos","24132, 8653","Pure Life Splash Wild Berry Flavored Water, Daisy Cutter Pale Ale",0.1895,0.4448,2.3472,"{19276, 34583, 46506}","{24132, 8653}"
"15770, 43983, 5985","Hot Dog Chili Sauce, Zingers Raspberry Cakes, Red Bell Peppers",702,Cheese Spread Port Wine,0.2288,0.9332,4.0787,"{15770, 43983, 5985}",{702}
"18087, 4479","Dandruff Shampoo Dry Scalp Care with Almond Oil, Fair Trade Level 4","33401, 9145","Goat Cheese Crumbles, Fusilli Bucati No. 98 Macaroni",0.0967,0.3345,3.4592,"{18087, 4479}","{33401, 9145}"
32736,Humectress Conditioner,39391,Prosciutto Cotto,0.2465,0.8796,3.5684,{32736},{39391}
"24789, 42515, 5837","Organic Cold Season Tea Bags, Nilla Wafers Reduced Fat, Collard Mustard Turnip Greens Southern Blend","1190, 32803","Tequila Reposado with Glass, Regular Deodorant",0.4976,0.4977,1.0002,"{24789, 42515, 5837}","{1190, 32803}"
43983,Zingers Raspberry Cakes,"12231, 18613","Orange Jel Dessert, Light Southwestern Style Vegetable Soup",0.4695,0.9812,2.0899,{43983},"{12231, 18613}"
"11368, 24144","Dark Chocolate Mint Nutrition Bar, Constellation Tomatoes",2248,Variety Pack Granola Bars,0.3199,0.3512,1.0978,"{11368, 24144}",{2248}
"21185, 7307","Roadhouse Pile High Pepperoni Pizza, Sweet & Sour Chicken With Vegetables","33376, 48974","Vanilla Wafer Cookies, Organic Asian Sesame Dressing",0.1723,0.3718,2.1579,"{21185, 7307}","{33376, 48974}"
"22896, 43337","Organic Triple G Choc Superfood Truffles, Pomegranate with Blueberry 100% Juice","18550, 49121","Organic Original Coconut Smoothie, Rainbow Carrots",0.082,0.6328,7.7171,"{22896, 43337}","{18550, 49121}"
23027,Dominican Chocolate Bar,"37019, 42350","Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert, Peanut Butter Cups Candy",0.4522,0.8829,1.9525,{23027},"{37019, 42350}"
958,Almond Extract,34035,Hamburger Bun,0.0386,0.7166,18.5648,{958},{34035}
"39511, 42251, 47468","Baby Diaper Rash Ointment, Organic Strawberry Thirst Quencher, Hot Enough Hummus",43857,Traditional Chicken & Wild Rice Soup,0.2981,0.3997,1.3408,"{39511, 42251, 47468}",{43857}
28583,Down East Olive Oil Crackers,17813,Caraway Seed,0.0277,0.744,26.8592,{28583},{17813}
"24040, 36354","Beef Flavor Dog Snacks, Bourbon Vanilla & Tangerine Hair Texturizer",38974,Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing,0.4975,0.8574,1.7234,"{24040, 36354}",{38974}
30498,Classics Canine Cuisine Variety Pack Wet Dog Food,"20281, 4517","Scoops! Corn Snacks, Sausage Pizza Rolls",0.3853,0.7858,2.0394,{30498},"{20281, 4517}"
27804,Spicy Kung Pao Noodle Bowl,"17534, 34439","AFTER SHAVE CLASSIC, Super Echinacea",0.251,0.9839,3.9199,{27804},"{17534, 34439}"
23350,Chow Mein Seasoning Mix,452,Sleepytime Sinus Soother Herbal Tea,0.1456,0.5207,3.5762,{23350},{452}
4452,Fearless Uncured Beef Franks,6880,for Tots Apple White Grape Juice,0.307,0.6077,1.9795,{4452},{6880}
"19626, 376, 48974","Baby Brussel Sprouts, Even & Bright Pink Lemon and Mandarin Orange Body Wash, Organic Asian Sesame Dressing","4339, 47468","Pure Camomile Herbal Tea Bags, Hot Enough Hummus",0.1843,0.3449,1.8714,"{19626, 376, 48974}","{4339, 47468}"
1924,Long Grain Rice,35340,Jumbo Slider Bags,0.425,0.5451,1.2826,{1924},{35340}
"31250, 3638, 6867","Apples Honeycrisp, Organic Original Panko, Lunchables Turkey & American Cheese Cracker Stackers","18723, 26254","Sterile Gauze Pads, Corn Snack, Hot Chili Pepper & Lime, Takis",0.2367,0.5283,2.2319,"{31250, 3638, 6867}","{18723, 26254}"
"45348, 48015, 9217","Chillable Red House Wine, Lime Slim Can, Cold Brew Coffee With Coconut Milk",37306,Take & Bake Multigrain Loaf,0.1265,0.3516,2.7794,"{45348, 48015, 9217}",{37306}
"10503, 35074, 43717","U Ultra Overnight With Wings Pads, Whole Milk Mozzarella Shredded Cheese, 18-in-1 Hemp Pure-Castile Soap Almond","20302, 210","Quick Oats, Homemade Hot Arrabbiata Fra Diavolo Sauce",0.4773,0.6523,1.3666,"{10503, 35074, 43717}","{20302, 210}"
49293,Blue Decorating Cake Icing,17519,Organic Espresso Blend Whole Bean Coffee,0.3401,0.4836,1.4219,{49293},{17519}
"14647, 19276, 23404","Diced Hot Green Chiles, Whole Nutmeg, With Rice Gumbo Mix","17022, 691","Elbows Pasta, Organic Promise Strawberry Fields Cereal",0.2307,0.8009,3.4716,"{14647, 19276, 23404}","{17022, 691}"
11558,Chicken & Beef Dinner Cat Food,32165,Orange Unsweetened Soft Drink Mix,0.0517,0.7984,15.4429,{11558},{32165}
48476,Tender Chicken & Stars Stage 3,"16059, 18281","Crab Delights Imitation Flake Style Crab Meat, Popped Dark Chocolate with Sea Salt Granola Bar",0.0261,0.6688,25.6245,{48476},"{16059, 18281}"
"34400, 45880, 49664","Chutney, Major Grey Mango, Stuffed Clams, Lemon Cayenne Drinking Vinegar",36035,Reduced Sodium Jambalaya Mix,0.3968,0.3358,0.8463,"{34400, 45880, 49664}",{36035}
"18694, 37306, 7402","Mandarin and Seville Orange Jigger, Take & Bake Multigrain Loaf, Mandarin Mango Hand Soap",46941,Provolone Slices,0.0931,0.794,8.5285,"{18694, 37306, 7402}",{46941}
"30254, 41815","Wild Pink Salmon, No Salt Added, Ham & Turkey Breast Sub Kit","18593, 29590","Hardwood Smoked Sliced Turkey Breast, Tomato Chicken Bouillon Cubes",0.1064,0.7641,7.1814,"{30254, 41815}","{18593, 29590}"
"12785, 721","Deluxe Original Cheddar Macaroni & Cheese Dinner, Sweet Chai of Mine Chai Tea Bags","24281, 36789","Organic Spelt Pie Crusts, UltimateCare Premium Liquid Bleach",0.1718,0.8663,5.0425,"{12785, 721}","{24281, 36789}"
"32223, 45761","For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy, Turkey Breast Thin Sliced Honey Roasted Deli Select","27784, 29125","Lemonade With Tea, Bac-Out Stain & Odor Remover",0.14,0.6635,4.7393,"{32223, 45761}","{27784, 29125}"
"14069, 31452","Vietnamese Brown Rice Spring Roll Wrappers, Grape Cranberry Juice Cocktail",31550,"Cake Mix, Premium, Chocolate",0.3705,0.6844,1.8472,"{14069, 31452}",{31550}
13817,"\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream","26219, 4669","Original Spray Starch, Pure Rewards Beef Jerky Bits Dog Treats",0.4369,0.9444,2.1616,{13817},"{26219, 4669}"
"29551, 4220","Creamy Carob Mousse Cheesecake, Hot & Spicy Tomato Ketchup",48449,Frozen Concentrated Lemonade,0.3104,0.7755,2.4984,"{29551, 4220}",{48449}
"10739, 36923","Classic Decaf Instant Coffee Crystals, Trop50 No Pulp Orange Juice","14586, 21639","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Cool Mint Wintergreen Toothpaste",0.3757,0.3049,0.8116,"{10739, 36923}","{14586, 21639}"
"44012, 9903","Natural Active Life Aluminum Free Deodorant Sport Stick, Caramel Milk Chocolate Candy",1926,2 In 1 Super Foam & Scrub Sponges,0.1898,0.9874,5.2023,"{44012, 9903}",{1926}
"32566, 35074","Dha Omega 3 Vitamin D Milk, Whole Milk Mozzarella Shredded Cheese","41381, 7564","Quaker Real Medleys Peach Apple Walnut Multigrain Cereal, Protein And Fiber Chocolate Peanut Butter Bar",0.2067,0.8433,4.0798,"{32566, 35074}","{41381, 7564}"
34643,Dry Roasted Macadamias,"12231, 41303","Orange Jel Dessert, Almond Breeze Reduced Sugar Vanilla Almondmilk",0.0205,0.5563,27.1366,{34643},"{12231, 41303}"
21639,Cool Mint Wintergreen Toothpaste,"24974, 28546","Caramel Custard Yogurt, Hello Kitty Fruit Flavored Snacks",0.3696,0.638,1.7262,{21639},"{24974, 28546}"
20312,Ultra Thin Crust Cheese Lovers Pizza,"31250, 43145","Apples Honeycrisp, Pinto Beans with Jalapeno Peppers",0.4704,0.7713,1.6397,{20312},"{31250, 43145}"
"41872, 47020","Herbal Tea, Organic Chamomile, Peanut Butter Pretzel Sandwiches",43170,Toll House Premier White Chocolate Morsels,0.2701,0.7195,2.6638,"{41872, 47020}",{43170}
1077,Security Super Plus Unscented Tampons,"12264, 41999","Fine Selection of Crackers and Biscuits for Cheese, Cut Tulips (Choose Color)",0.347,0.8853,2.5513,{1077},"{12264, 41999}"
"15198, 25625, 41916","Performance Protein Vanilla Powder, Nonfat Yogurt, Barrel Aged Sriracha","28666, 47020","Organic Vitality Snack Wild Raspberry, Peanut Butter Pretzel Sandwiches",0.2621,0.5887,2.2461,"{15198, 25625, 41916}","{28666, 47020}"
"44101, 7235","Passion Fruit Ginger Ale, Stevia Plus Powder","1924, 28375","Long Grain Rice, Natural Cedar Scent Toilet Cleaner",0.388,0.5545,1.4291,"{44101, 7235}","{1924, 28375}"
33810,Citrus Dish Soap,"29590, 6242","Tomato Chicken Bouillon Cubes, All Natural Boneless & Skinless Chicken Breasts Family Pack",0.4688,0.5141,1.0966,{33810},"{29590, 6242}"
1190,Tequila Reposado with Glass,17022,Elbows Pasta,0.1452,0.4241,2.9208,{1190},{17022}
"27505, 38974","Original Strawberry Gelatin, Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing",27115,All-Natural Autumn Apple  Fruit Strip,0.3495,0.9471,2.7099,"{27505, 38974}",{27115}
7771,Gluten Free Hazelnut Wafer Bites,18523,Total 2% All Natural Greek Strained Yogurt with Honey,0.2704,0.5249,1.9412,{7771},{18523}
" 2643, 4581","Clinical Strength Invisible Solid Deodorant, Organic Bagged Kale Salad Mix, McCormick Minced Onion",37496,Organic Deep Dark Sea Salt Chocolate,0.2486,0.6345,2.5523,"{ 2643, 4581}",{37496}
"19626, 39391","Baby Brussel Sprouts, Prosciutto Cotto",8766,Delicious IPA,0.1327,0.7557,5.6948,"{19626, 39391}",{8766}
"16425, 17740, 29590","Organic Lowafat 1% Milk, Tortillas, Flour, Tomato Chicken Bouillon Cubes","37496, 47190","Organic Deep Dark Sea Salt Chocolate, Kosher Matzo Meal For Passover",0.4714,0.4205,0.892,"{16425, 17740, 29590}","{37496, 47190}"
9009,Fuji  Apples,"16527, 23333","LashBlast Volume Mascara - Black 805, Beef Ravioli in Tomato & Meat Sauce",0.0916,0.6361,6.9443,{9009},"{16527, 23333}"
"18087, 20171, 4669","Dandruff Shampoo Dry Scalp Care with Almond Oil, White Bread, Pure Rewards Beef Jerky Bits Dog Treats","28886, 43802","Organic Orange, Organic Sweet Apple Chicken Sausage",0.3102,0.3871,1.2479,"{18087, 20171, 4669}","{28886, 43802}"
45465,Shredded Swiss Cheese,"28666, 4665","Organic Vitality Snack Wild Raspberry, Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee",0.1911,0.5561,2.91,{45465},"{28666, 4665}"
23805,Peppered Turkey Bacon,2248,Variety Pack Granola Bars,0.0976,0.3288,3.3689,{23805},{2248}
"19119, 4553","No. 3 Organic Extra Virgin Olive Oil, Exfoliating Renewal Wet Cleansing Towelettes","32165, 6833","Orange Unsweetened Soft Drink Mix, Udo's Choice Super 8 Probiotic Capsules",0.4362,0.5503,1.2616,"{19119, 4553}","{32165, 6833}"
"17519, 28789, 39098","Organic Espresso Blend Whole Bean Coffee, La Lechera Sweetened Condensed Milk, Complete Health Kitten Dry Food",26655,Natural Roast Beef,0.0369,0.8778,23.7886,"{17519, 28789, 39098}",{26655}
"18523, 4479, 7829","Total 2% All Natural Greek Strained Yogurt with Honey, Fair Trade Level 4, Organic Protein Vanilla Smoothie",26599,Jasmine Green,0.3176,0.9962,3.1366,"{18523, 4479, 7829}",{26599}
"16727, 17022, 41381","Organic Bosc Pears, Elbows Pasta, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal","2668, 33401","Whips! Strawberry Mist Yogurt Mousse, Goat Cheese Crumbles",0.165,0.8642,5.2376,"{16727, 17022, 41381}","{2668, 33401}"
"2668, 30369, 48872","Whips! Strawberry Mist Yogurt Mousse, Gluten Free Spinach And Cheese Ravioli, Every Man's One Daily Multivitamin",4553,Exfoliating Renewal Wet Cleansing Towelettes,0.067,0.3986,5.9493,"{2668, 30369, 48872}",{4553}
"18545, 22896, 4339","Buttery Spread, Organic Triple G Choc Superfood Truffles, Pure Camomile Herbal Tea Bags","1926, 43520","2 In 1 Super Foam & Scrub Sponges, Organic Cranberry, Almond & Coconut Super Food Bar",0.105,0.9531,9.0771,"{18545, 22896, 4339}","{1926, 43520}"
26254,"Corn Snack, Hot Chili Pepper & Lime, Takis","46524, 46976","Natural Peanut Butter Crunchy and Flaxseed, Dry Sweeping Refills  X-Large",0.3601,0.9044,2.5115,{26254},"{46524, 46976}"
"29125, 31452","Bac-Out Stain & Odor Remover, Grape Cranberry Juice Cocktail","22757, 23805","Bag of Kiwis, Peppered Turkey Bacon",0.2364,0.3141,1.3287,"{29125, 31452}","{22757, 23805}"
"23000, 30254, 42979","Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash, Wild Pink Salmon, No Salt Added, Four Star Collection Entertainment Crackers",48974,Organic Asian Sesame Dressing,0.466,0.9118,1.9567,"{23000, 30254, 42979}",{48974}
